INFO 2025-04-28 20:52:09,078 tests 30344 6304 Testing team summary access permissions
INFO 2025-04-28 20:52:09,258 tests 30344 6304 Setting up client for view tests
INFO 2025-04-28 20:52:09,259 tests 30344 6304 Testing vote submission process
INFO 2025-04-28 20:52:09,450 tests 30344 6304 Setting up performance tests
INFO 2025-04-28 20:52:09,461 tests 30344 6304 Performance tests setup complete
INFO 2025-04-28 20:52:09,461 tests 30344 6304 Testing bulk vote creation
INFO 2025-04-28 20:52:26,591 tests 30344 6304 Setting up performance tests
INFO 2025-04-28 20:52:26,602 tests 30344 6304 Performance tests setup complete
INFO 2025-04-28 20:52:26,604 tests 30344 6304 Testing mass vote processing
INFO 2025-04-28 20:52:35,476 tests 30344 6304 Setting up performance tests
INFO 2025-04-28 20:52:35,486 tests 30344 6304 Performance tests setup complete
INFO 2025-04-28 20:52:35,486 tests 30344 6304 Testing sequential vote updates
INFO 2025-04-28 20:56:07,511 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:08,156 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:08,157 tests 10116 19068 Running test: test_team_loading_endpoint
INFO 2025-04-28 20:56:08,331 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:09,001 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:09,002 tests 10116 19068 Setting up AdminTests
INFO 2025-04-28 20:56:09,002 tests 10116 19068 Running test: test_admin_access_permissions
INFO 2025-04-28 20:56:09,368 tests 10116 19068 Setting up AdminTests
INFO 2025-04-28 20:56:09,368 tests 10116 19068 Running test: test_login_page_access
INFO 2025-04-28 20:56:09,386 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:10,044 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:10,045 tests 10116 19068 Running test: test_user_without_team_view_access
INFO 2025-04-28 20:56:10,377 tests 10116 19068 Running test: test_voting_on_closed_session
INFO 2025-04-28 20:56:10,546 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:11,187 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:11,188 tests 10116 19068 Running test: test_invalid_team_selection
INFO 2025-04-28 20:56:11,200 tests 10116 19068 Running test: test_password_mismatch
INFO 2025-04-28 20:56:11,208 tests 10116 19068 Running test: test_valid_registration_form
INFO 2025-04-28 20:56:11,217 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:11,855 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:11,856 tests 10116 19068 Running test: test_department_str_representation
INFO 2025-04-28 20:56:11,859 tests 10116 19068 Running test: test_health_card_str_representation
INFO 2025-04-28 20:56:11,862 tests 10116 19068 Running test: test_session_str_representation
INFO 2025-04-28 20:56:11,866 tests 10116 19068 Running test: test_team_str_representation
INFO 2025-04-28 20:56:11,868 tests 10116 19068 Running test: test_user_creation
INFO 2025-04-28 20:56:12,033 tests 10116 19068 Running test: test_vote_str_representation
INFO 2025-04-28 20:56:12,036 tests 10116 19068 Running test: test_vote_uniqueness_constraint
INFO 2025-04-28 20:56:12,040 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:12,708 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:12,708 tests 10116 19068 Running test: test_health_card_status
INFO 2025-04-28 20:56:12,710 tests 10116 19068 Running test: test_session_status
INFO 2025-04-28 20:56:12,712 tests 10116 19068 Running test: test_team_department_relationship
INFO 2025-04-28 20:56:12,715 tests 10116 19068 Running test: test_user_role_permissions
INFO 2025-04-28 20:56:12,719 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:13,389 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:13,390 tests 10116 19068 Running test: test_authentication_required
INFO 2025-04-28 20:56:13,396 tests 10116 19068 Running test: test_xss_protection_in_comments
INFO 2025-04-28 20:56:13,579 tests 10116 19068 Setting up base test data
INFO 2025-04-28 20:56:14,210 tests 10116 19068 Base test data setup complete
INFO 2025-04-28 20:56:14,211 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,211 tests 10116 19068 Running test: test_anonymous_user_redirect
INFO 2025-04-28 20:56:14,218 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,218 tests 10116 19068 Running test: test_department_summary_access_allowed
INFO 2025-04-28 20:56:14,393 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,393 tests 10116 19068 Running test: test_department_summary_access_denied
INFO 2025-04-28 20:56:14,562 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,563 tests 10116 19068 Running test: test_engineer_dashboard_access
INFO 2025-04-28 20:56:14,739 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,739 tests 10116 19068 Running test: test_team_summary_access_permissions
INFO 2025-04-28 20:56:14,910 tests 10116 19068 Setting up ViewTests
INFO 2025-04-28 20:56:14,910 tests 10116 19068 Running test: test_vote_submission_process
INFO 2025-04-28 20:56:15,088 tests 10116 19068 Setting up PerformanceTests
INFO 2025-04-28 20:56:15,099 tests 10116 19068 PerformanceTests setup complete
INFO 2025-04-28 20:56:15,100 tests 10116 19068 Running test: test_vote_basic_performance
